seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
contig_24375	10670	No terminal repeats	16	11	0.9912	NA	0	7.7782	NA	NA
contig_10370	1907	No terminal repeats	4	11	0.9912	NA	1	3.4093	NA	NA
contig_22304	8084	No terminal repeats	14	11	0.9911	NA	0	4.9004	NA	NA
contig_842	3019	No terminal repeats	6	11	0.9911	NA	0	2.5072	NA	NA
contig_17003	4366	No terminal repeats	9	11	0.9911	NA	0	3.7559	NA	NA
contig_18053	8141	No terminal repeats	10	11	0.9911	NA	0	2.5849	NA	NA
contig_19207	6884	No terminal repeats	12	11	0.9911	NA	0	4.9731	NA	NA
contig_21883	3161	No terminal repeats	7	11	0.9911	NA	0	3.2441	NA	NA
contig_11043	3254	No terminal repeats	1	11	0.9911	NA	0	1.7183	NA	NA
contig_7572	5284	No terminal repeats	10	11	0.9911	NA	0	5.4741	NA	NA
contig_6505	3469	No terminal repeats	7	11	0.9911	NA	0	3.6831	NA	NA
contig_19949	4424	No terminal repeats	9	11	0.9910	NA	0	3.7559	NA	NA
contig_16183	3217	No terminal repeats	3	11	0.9910	NA	0	1.2731	NA	NA
contig_23893	4162	No terminal repeats	10	11	0.9910	NA	0	3.6831	NA	NA
contig_18470	5070	No terminal repeats	7	11	0.9910	NA	0	2.9520	NA	NA
contig_5238	10607	No terminal repeats	11	11	0.9910	NA	0	4.4635	NA	NA
contig_26071	14746	No terminal repeats	12	11	0.9909	NA	7	7.0257	MOBV;MOBV;MOBV;MOBV	NA
contig_25794	9286	No terminal repeats	15	11	0.9909	NA	0	3.3871	MOBT;MOBT	NA
contig_689	4410	No terminal repeats	9	11	0.9909	NA	0	3.7559	NA	NA
contig_22505	5841	No terminal repeats	13	11	0.9909	NA	0	3.5507	NA	NA
contig_21440	7081	No terminal repeats	14	11	0.9909	NA	1	3.8209	NA	NA
contig_5150	3592	No terminal repeats	2	11	0.9909	NA	0	1.1986	NA	NA
contig_667	4425	No terminal repeats	10	11	0.9909	NA	0	2.9355	NA	NA
contig_6668	5883	No terminal repeats	12	11	0.9908	NA	0	4.7266	NA	NA
contig_19309	6120	No terminal repeats	12	11	0.9908	NA	0	4.2983	NA	NA
contig_20573	6385	No terminal repeats	13	11	0.9907	NA	0	4.5034	NA	NA
contig_731	3781	No terminal repeats	8	11	0.9907	NA	0	2.9355	NA	NA
contig_4883	7847	No terminal repeats	13	11	0.9907	NA	1	1.5841	FA_orf13	NA
contig_18832	3448	No terminal repeats	2	11	0.9907	NA	0	1.1986	NA	NA
contig_21354	5994	No terminal repeats	12	11	0.9907	NA	0	4.5034	NA	NA
contig_885	3775	No terminal repeats	8	11	0.9906	NA	0	2.2607	NA	NA
contig_7933	5060	No terminal repeats	9	11	0.9906	NA	0	2.9355	NA	NA
contig_7402	4366	DTR	9	11	0.9906	NA	0	3.0083	NA	NA
contig_25074	10145	No terminal repeats	13	11	0.9905	NA	1	1.7183	NA	NA
contig_14666	7317	No terminal repeats	13	11	0.9905	NA	0	5.4014	NA	NA
contig_20472	4109	No terminal repeats	5	11	0.9905	NA	0	2.4659	NA	NA
contig_926	2806	No terminal repeats	7	11	0.9905	NA	0	3.2135	NA	NA
contig_8180	7619	No terminal repeats	10	11	0.9904	NA	2	2.4118	MOBP1	NA
contig_726	7973	No terminal repeats	18	11	0.9904	NA	0	4.9004	NA	NA
contig_861	7147	No terminal repeats	12	11	0.9903	NA	0	4.2255	NA	NA
contig_18073	4448	No terminal repeats	8	11	0.9903	NA	0	2.9355	NA	NA
contig_765	4280	No terminal repeats	11	11	0.9902	NA	0	3.4779	NA	NA
contig_19820	2751	No terminal repeats	3	11	0.9902	NA	1	1.0590	NA	NA
contig_8308	6022	No terminal repeats	10	11	0.9902	NA	0	3.4781	NA	NF000025
contig_22339	5018	No terminal repeats	5	11	0.9901	NA	0	4.9728	NA	NA
contig_743	4469	No terminal repeats	10	11	0.9901	NA	0	3.6831	NA	NA
contig_12317	9105	No terminal repeats	19	11	0.9900	NA	1	5.1548	NA	NA
contig_15059	4461	No terminal repeats	10	11	0.9900	NA	0	3.7559	NA	NA
contig_23219	5597	No terminal repeats	10	11	0.9900	NA	0	3.7559	NA	NA
contig_727	3929	No terminal repeats	9	11	0.9900	NA	0	3.7559	NA	NA
contig_26074	2280	No terminal repeats	3	11	0.9899	NA	1	0.9372	NA	NA
contig_9258	4277	No terminal repeats	7	11	0.9899	NA	0	2.1012	NA	NA
contig_13678	7859	No terminal repeats	15	11	0.9899	NA	0	7.6369	NA	NA
contig_10109	14119	No terminal repeats	22	11	0.9898	NA	0	4.0074	NA	NA
contig_19085	8983	DTR	12	11	0.9898	NA	0	2.0474	NA	NA
contig_6377	4142	No terminal repeats	11	11	0.9897	NA	0	4.4307	NA	NA
contig_523	4366	No terminal repeats	10	11	0.9897	NA	0	2.9355	NA	NA
contig_320	5877	No terminal repeats	9	11	0.9896	NA	0	2.1671	FA_orf15	NA
contig_2090	8333	No terminal repeats	11	11	0.9896	NA	0	6.0746	NA	NA
contig_17972	5482	No terminal repeats	7	11	0.9896	NA	0	2.5800	NA	NA
contig_10060	6307	No terminal repeats	11	11	0.9896	NA	0	4.5034	NA	NA
contig_3044	5055	No terminal repeats	11	11	0.9895	NA	0	3.5507	NA	NA
contig_688	4019	No terminal repeats	9	11	0.9895	NA	0	3.0083	NA	NA
contig_18843	3715	No terminal repeats	5	11	0.9895	NA	1	1.4146	NA	NA
contig_25762	28897	No terminal repeats	36	11	0.9895	NA	2	14.2822	FATA_prgL;FATA_cd411	NA
contig_23896	4624	No terminal repeats	10	11	0.9894	NA	0	2.5072	NA	NA
contig_11273	8258	No terminal repeats	13	11	0.9894	NA	0	3.5223	NA	NA
contig_7573	4237	No terminal repeats	9	11	0.9894	NA	0	3.0083	NA	NA
contig_15191	5779	No terminal repeats	8	11	0.9894	NA	0	1.7183	NA	NA
contig_4740	13491	No terminal repeats	16	11	0.9894	NA	0	2.0517	NA	NA
contig_3779	5105	No terminal repeats	11	11	0.9893	NA	0	4.2983	NA	NA
contig_931	4839	No terminal repeats	11	11	0.9893	NA	0	3.4779	NA	NA
contig_12760	3285	No terminal repeats	5	11	0.9893	NA	1	0.9293	NA	NA
contig_18692	5619	No terminal repeats	10	11	0.9893	NA	0	2.5800	NA	NA
contig_8914	4492	No terminal repeats	2	11	0.9892	NA	0	1.7183	NA	NA
contig_11780	2514	No terminal repeats	2	11	0.9892	NA	1	0.9372	NA	NA
contig_22543	6017	No terminal repeats	12	11	0.9892	NA	0	4.5034	NA	NA
contig_25992	4003	No terminal repeats	5	11	0.9892	NA	0	1.7183	NA	NA
contig_22081	7056	No terminal repeats	11	11	0.9891	NA	2	3.1684	MOBQ	NA
contig_881	4756	No terminal repeats	8	11	0.9891	NA	0	3.0083	NA	NA
contig_2202	10947	No terminal repeats	15	11	0.9891	NA	0	0.8649	NA	NA
contig_4958	22770	No terminal repeats	23	11	0.9891	NA	0	5.1083	NA	NA
contig_695	2765	No terminal repeats	5	11	0.9890	NA	0	2.4659	NA	NA
contig_25286	3087	No terminal repeats	4	11	0.9890	NA	0	0.9020	NA	NA
contig_26117	3068	No terminal repeats	5	11	0.9890	NA	2	1.8665	NA	NA
contig_22064	6179	No terminal repeats	13	11	0.9889	NA	0	5.2510	NA	NA
contig_24595	5981	No terminal repeats	11	11	0.9889	NA	0	1.9264	NA	NA
contig_22615	5357	No terminal repeats	9	11	0.9889	NA	0	2.5072	NA	NA
contig_15050	6782	No terminal repeats	16	11	0.9889	NA	0	4.4307	NA	NA
contig_787	7291	No terminal repeats	14	11	0.9888	NA	0	5.7207	NA	NA
contig_4128	5233	No terminal repeats	12	11	0.9888	NA	0	3.6831	NA	NA
contig_22368	4624	No terminal repeats	9	11	0.9888	NA	0	2.0376	NA	NA
contig_5664	2558	No terminal repeats	5	11	0.9887	NA	0	2.0376	NA	NA
contig_15067	63333	No terminal repeats	75	11	0.9887	NA	2	7.3205	NA	NF000027
contig_24802	12167	No terminal repeats	14	11	0.9887	NA	0	2.9667	NA	NA
contig_10585	14636	No terminal repeats	19	11	0.9887	NA	0	2.6455	NA	NA
contig_6047	8309	No terminal repeats	11	4	0.9887	NA	0	2.5470	NA	NA
contig_22252	7582	No terminal repeats	15	11	0.9886	NA	0	5.0458	NA	NA
contig_18032	4144	No terminal repeats	6	15	0.9886	NA	1	1.7183	NA	NA
contig_3133	14252	No terminal repeats	18	11	0.9886	NA	0	1.7984	NA	NA
contig_22194	5101	No terminal repeats	7	11	0.9886	NA	1	1.6557	NA	NA
contig_9790	3564	No terminal repeats	5	11	0.9886	NA	0	1.7020	MOBT	NA
contig_24061	17696	No terminal repeats	18	11	0.9886	NA	1	5.9479	FATA_prgL;FATA_cd411	NA
contig_14558	4322	No terminal repeats	2	11	0.9886	NA	0	1.7183	NA	NA
contig_20527	3608	No terminal repeats	6	11	0.9886	NA	0	2.6764	NA	NA
contig_6664	5163	No terminal repeats	11	11	0.9885	NA	0	4.6538	NA	NA
contig_10047	2652	No terminal repeats	4	11	0.9885	NA	1	1.0535	MOBV	NA
contig_11240	19604	No terminal repeats	19	11	0.9885	NA	0	9.0843	NA	NA
contig_21328	5278	No terminal repeats	10	11	0.9885	NA	0	2.5072	NA	NA
contig_8564	10451	No terminal repeats	14	11	0.9884	NA	0	1.9775	NA	NA
contig_23039	6017	No terminal repeats	13	11	0.9884	NA	0	4.2255	NA	NA
contig_11813	6135	No terminal repeats	12	11	0.9883	NA	0	3.5507	NA	NA
contig_8569	5558	No terminal repeats	12	11	0.9883	NA	0	1.7183	NA	NA
contig_24539	9218	No terminal repeats	15	11	0.9883	NA	1	4.4805	T_virB5	NA
contig_2209	8293	No terminal repeats	11	11	0.9883	NA	0	1.2419	NA	NA
contig_21866	5821	No terminal repeats	11	11	0.9883	NA	0	2.5072	NA	NA
contig_24424	7812	No terminal repeats	12	11	0.9883	NA	1	1.6946	NA	NA
contig_7936	32707	No terminal repeats	52	11	0.9882	NA	2	16.2880	NA	NA
contig_15003	5448	No terminal repeats	10	11	0.9882	NA	0	2.5800	NA	NA
contig_4326	24971	No terminal repeats	42	11	0.9882	NA	3	7.0992	NA	NA
contig_781	3459	No terminal repeats	7	11	0.9882	NA	0	2.2607	NA	NA
contig_18909	4687	No terminal repeats	9	11	0.9881	NA	0	2.5072	NA	NA
contig_21034	6577	No terminal repeats	13	11	0.9881	NA	0	3.7559	NA	NA
contig_7245	5597	No terminal repeats	11	11	0.9881	NA	0	5.1783	NA	NA
contig_25185	17529	No terminal repeats	32	11	0.9881	NA	2	11.1993	NA	NA
contig_23277	5475	No terminal repeats	9	11	0.9881	NA	0	2.5072	NA	NA
contig_20092	5573	No terminal repeats	11	11	0.9881	NA	0	2.5072	NA	NA
contig_7758	28734	No terminal repeats	47	11	0.9881	NA	4	3.6996	MOBQ;MOBQ	NA
contig_15478	7946	No terminal repeats	12	11	0.9881	NA	0	1.7183	NA	NA
contig_25867	12299	No terminal repeats	15	11	0.9880	NA	0	4.6849	NA	NA
contig_892	4396	No terminal repeats	8	11	0.9880	NA	0	2.9355	NA	NA
contig_3908	6778	No terminal repeats	14	11	0.9879	NA	0	3.6831	NA	NA
contig_3019	6656	No terminal repeats	5	11	0.9879	NA	0	2.2885	NA	NA
contig_19673	3510	No terminal repeats	9	11	0.9879	NA	0	1.9688	MOBT;MOBT	NA
contig_21497	4257	No terminal repeats	10	11	0.9879	NA	0	3.6831	NA	NA
contig_22337	6306	No terminal repeats	12	11	0.9879	NA	0	4.4307	NA	NA
contig_11036	5466	No terminal repeats	14	11	0.9879	NA	0	6.1490	NA	NA
contig_7183	8849	No terminal repeats	12	11	0.9879	NA	0	3.3346	NA	NA
contig_23217	5482	No terminal repeats	11	11	0.9878	NA	0	2.7852	NA	NA
contig_17614	6958	No terminal repeats	12	11	0.9878	NA	0	2.8476	NA	NA
contig_904	2622	No terminal repeats	3	11	0.9878	NA	0	1.2900	NA	NA
contig_12014	4324	No terminal repeats	7	11	0.9878	NA	2	1.8586	NA	NA
contig_899	3986	No terminal repeats	9	11	0.9878	NA	0	3.6831	NA	NA
contig_792	3214	No terminal repeats	4	11	0.9877	NA	0	2.4659	NA	NA
contig_7054	19331	No terminal repeats	27	11	0.9877	NA	0	3.6256	NA	NA
contig_3780	4395	DTR	10	11	0.9877	NA	0	4.2255	NA	NA
contig_19342	3271	No terminal repeats	5	11	0.9877	NA	0	1.2900	NA	NA
contig_24354	7470	No terminal repeats	8	11	0.9876	NA	0	2.5746	NA	NA
contig_18928	7455	No terminal repeats	14	11	0.9876	NA	0	5.0458	NA	NA
contig_18095	14371	No terminal repeats	34	11	0.9876	NA	5	6.3756	F_traL;F_traE;F_traK	NA
contig_20169	6377	No terminal repeats	12	11	0.9876	NA	0	0.8617	NA	NA
contig_3800	2020	No terminal repeats	2	11	0.9876	NA	1	3.0934	NA	NA
contig_3444	8348	No terminal repeats	5	11	0.9876	NA	0	2.3973	NA	NA
contig_11522	11469	No terminal repeats	14	11	0.9876	NA	2	0.4515	MOBQ	NA
contig_25536	7751	No terminal repeats	4	11	0.9875	NA	0	1.3125	NA	NA
contig_5928	8520	No terminal repeats	18	11	0.9875	NA	0	6.0165	NA	NA
contig_3981	5903	No terminal repeats	9	11	0.9875	NA	0	1.7183	NA	NA
contig_24884	5936	No terminal repeats	3	11	0.9875	NA	0	1.1338	NA	NA
contig_4881	10894	No terminal repeats	14	11	0.9875	NA	2	2.6489	NA	NA
contig_22985	2780	No terminal repeats	6	11	0.9875	NA	1	1.2753	NA	NA
contig_9200	9937	No terminal repeats	13	11	0.9875	NA	2	4.2263	MOBP1	NA
contig_25370	3233	No terminal repeats	3	11	0.9875	NA	1	0.9293	NA	NA
contig_25688	14813	No terminal repeats	21	11	0.9874	NA	1	2.0026	NA	NA
contig_4738	13803	No terminal repeats	15	11	0.9874	NA	0	2.4830	NA	NA
contig_10111	36458	No terminal repeats	56	11	0.9874	NA	3	2.1887	T_virB10;T_virB9;T_virB8	NA
contig_3041	9659	No terminal repeats	15	11	0.9874	NA	0	2.2970	NA	NA
contig_807	4305	No terminal repeats	9	11	0.9874	NA	0	2.9355	NA	NA
contig_13517	4075	No terminal repeats	7	11	0.9874	NA	0	4.1561	NA	NA
contig_7194	11249	No terminal repeats	18	11	0.9873	NA	0	3.7034	NA	NA
contig_25907	3539	No terminal repeats	6	11	0.9873	NA	0	2.4659	NA	NA
contig_4980	57030	No terminal repeats	69	11	0.9872	NA	3	9.9758	FA_orf15;FA_orf15;FA_orf17b;FA_orf13;MOBT	NA
contig_26053	4791	No terminal repeats	7	11	0.9872	NA	0	2.4909	MOBT;MOBT	NA
contig_5365	6776	No terminal repeats	8	11	0.9872	NA	0	1.6585	NA	NA
contig_875	3018	No terminal repeats	5	11	0.9872	NA	0	1.9648	NA	NA
contig_23102	5634	No terminal repeats	10	11	0.9871	NA	0	2.5072	NA	NA
contig_6308	4573	No terminal repeats	9	11	0.9871	NA	0	3.4779	NA	NA
contig_25142	28538	No terminal repeats	41	11	0.9871	NA	2	1.2896	FA_orf17b;FA_orf13	NA
contig_4957	16793	No terminal repeats	27	11	0.9870	NA	0	6.1628	NA	NA
contig_16300	15281	No terminal repeats	26	11	0.9870	NA	0	6.7164	MOBT;MOBT;MOBT	NA
contig_8844	2868	No terminal repeats	3	11	0.9870	NA	0	1.1986	NA	NA
contig_4142	3439	No terminal repeats	1	11	0.9870	NA	0	1.7012	NA	NA
contig_23341	42712	No terminal repeats	56	11	0.9869	NA	1	7.6778	MOBP2	NA
contig_14442	7669	No terminal repeats	7	11	0.9869	NA	1	2.8946	NA	NA
contig_9010	30742	No terminal repeats	34	11	0.9869	NA	0	6.7466	NA	NA
contig_25186	37784	No terminal repeats	58	11	0.9869	NA	1	9.3715	FATA_trsL	NA
contig_24374	24576	No terminal repeats	34	11	0.9869	NA	0	8.0712	NA	NA
contig_9277	2670	No terminal repeats	4	11	0.9868	NA	2	2.9026	MOBP1	NA
contig_25527	32263	No terminal repeats	35	11	0.9868	NA	0	5.3351	NA	NA
contig_9869	2842	No terminal repeats	5	11	0.9868	NA	0	2.4036	NA	NA
contig_6155	2983	No terminal repeats	3	11	0.9868	NA	0	1.0848	NA	NA
contig_709	2672	No terminal repeats	4	11	0.9868	NA	0	1.2900	NA	NA
contig_22155	3567	No terminal repeats	6	11	0.9868	NA	0	1.2900	NA	NA
contig_17091	4824	No terminal repeats	9	11	0.9868	NA	0	2.5800	NA	NA
contig_18680	3609	No terminal repeats	6	11	0.9867	NA	0	1.7183	NA	NA
contig_10154	7910	No terminal repeats	16	11	0.9867	NA	0	6.7641	NA	NA
contig_894	4738	No terminal repeats	9	11	0.9867	NA	0	3.0083	NA	NA
