gene	start	stop	frame	contig	score	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	locus_tag
phage_comp_0_cycle_1_CDS_0011	1977	2312	+	phage_comp_0_cycle_1	-1637.9787366659637	17283	118.0	0.813	4.437e-34	p355480 VI_04606	PHANOTATE	CDS	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0011
phage_comp_0_cycle_1_CDS_0012	2305	2418	+	phage_comp_0_cycle_1	-0.1648756670931135	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0012
phage_comp_0_cycle_1_CDS_0013	2408	3646	+	phage_comp_0_cycle_1	-4552174171.494067	104	302.0	0.413	1.608e-90	NC_023862_p16	PHANOTATE	CDS	#3e83f6	portal protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0013
phage_comp_0_cycle_1_CDS_0014	3636	4358	+	phage_comp_0_cycle_1	-2576427.7039399147	2494	292.0	0.632	4.868e-91	p355482 VI_04606	PHANOTATE	CDS	#3e83f6	minor head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0014
phage_comp_0_cycle_1_CDS_0015	4371	5789	+	phage_comp_0_cycle_1	-317783481324.5338	17688	218.0	0.786	2.289e-67	p223010 VI_05389	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0015
phage_comp_0_cycle_1_CDS_0016	5875	6351	+	phage_comp_0_cycle_1	-239853.48494438207	233	107.0	0.397	9.294e-29	p69105 VI_00766	PHANOTATE	CDS	#3e83f6	head scaffolding protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0016
phage_comp_0_cycle_1_CDS_0017	6370	7278	+	phage_comp_0_cycle_1	-255342124300.0028	32396	126.0	0.586	4.8880000000000004e-36	p267135 VI_05328	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0017
phage_comp_0_cycle_1_CDS_0018	7351	7449	+	phage_comp_0_cycle_1	-3.7281508142762334	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0018
phage_comp_0_cycle_1_CDS_0019	7526	7816	+	phage_comp_0_cycle_1	-109.81553851427724	137	46.0	0.302	4.345e-08	NC_005345_p40	PHANOTATE	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0019
phage_comp_0_cycle_1_CDS_0020	7806	8141	+	phage_comp_0_cycle_1	-2579.862258207205	501	82.0	0.417	1.111e-20	MG820634_p8	PHANOTATE	CDS	#35d7ff	head closure Hc1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0020
phage_comp_0_cycle_1_CDS_0021	8134	8370	+	phage_comp_0_cycle_1	-101.30757171818722	387	67.0	0.431	4.278e-16	p385449 VI_04150	PHANOTATE	CDS	#35d7ff	neck protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0021
phage_comp_0_cycle_1_CDS_0022	8367	8705	+	phage_comp_0_cycle_1	-630.1228586445324	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0022
phage_comp_0_cycle_1_CDS_0023	8726	9292	+	phage_comp_0_cycle_1	-3636464.986601143	117	161.0	0.475	6.197e-47	NC_005822_p38	PHANOTATE	CDS	#07e9a2	major tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0023
phage_comp_0_cycle_1_CDS_0024	9300	9560	+	phage_comp_0_cycle_1	-1063.3714296461185	1526	87.0	0.524	6.925e-23	NC_005822_p39	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0024
phage_comp_0_cycle_1_CDS_0025	9572	9946	+	phage_comp_0_cycle_1	-1091.4368861878445	1633	178.0	0.705	7.387e-54	NC_005822_p40	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0025
phage_comp_0_cycle_1_CDS_0026	9950	11965	+	phage_comp_0_cycle_1	-4.0362183392223775e+18	6900	242.0	0.655	2.287e-74	KX456210_p43	PHANOTATE	CDS	#07e9a2	tail length tape measure protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0026
phage_comp_0_cycle_1_CDS_0027	12004	12702	+	phage_comp_0_cycle_1	-112439582.92788956	202	48.0	0.264	7.095e-07	NC_028990_p16	PHANOTATE	CDS	#07e9a2	distal tail protein Dit	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0027
phage_comp_0_cycle_1_CDS_0028	12699	14789	+	phage_comp_0_cycle_1	-1.6774787111339395e+19	588	139.0	0.247	1.105e-34	p254843 VI_05116	PHANOTATE	CDS	#07e9a2	tail fiber protein and host specificity	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0028
phage_comp_0_cycle_1_CDS_0029	14776	16803	+	phage_comp_0_cycle_1	-1012455893092622.0	18627	103.0	0.27	1.8120000000000002e-25	MF161328_p17	PHANOTATE	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0029
phage_comp_0_cycle_1_CDS_0030	16821	17036	+	phage_comp_0_cycle_1	-23.41656366131448	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0030
phage_comp_0_cycle_1_CDS_0031	17040	17459	+	phage_comp_0_cycle_1	-288.26355976476583	199	60.0	0.315	1.933e-12	p36952 VI_00613	PHANOTATE	CDS	#f35f49	holin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0031
phage_comp_0_cycle_1_CDS_0032	17449	17709	+	phage_comp_0_cycle_1	-226.93259617475513	297	94.0	0.576	2.093e-25	p26528 VI_00260	PHANOTATE	CDS	#f35f49	holin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0032
phage_comp_0_cycle_1_CDS_0033	17757	19169	+	phage_comp_0_cycle_1	-28037143812226.49	32123	320.0	0.414	3.935e-96	p295905 VI_04562	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0033
phage_comp_0_cycle_1_CDS_0034	19205	19366	+	phage_comp_0_cycle_1	-0.2166713817105116	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0034
phage_comp_0_cycle_1_CDS_0035	19409	19549	+	phage_comp_0_cycle_1	-3.327574361384868	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0035
phage_comp_0_cycle_1_CDS_0036	19567	20265	+	phage_comp_0_cycle_1	-4324322.844617721	1110	371.0	0.785	4.9620000000000004e-117	KY065455_p49	PHANOTATE	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0036
phage_comp_0_cycle_1_CDS_0037	20244	20528	+	phage_comp_0_cycle_1	-590.7159250134843	998	74.0	0.569	7.013e-16	NC_015274_p59	PHANOTATE	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0037
phage_comp_0_cycle_1_CDS_0038	20661	20765	+	phage_comp_0_cycle_1	-2.511644038851314	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0038
phage_comp_0_cycle_1_CDS_0039	21669	20749	-	phage_comp_0_cycle_1	-9842544650.67783	1	141.0	0.303	3.3369999999999997e-37	p428256 VI_04636	PHANOTATE	CDS	#fea328	integrase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0039
phage_comp_0_cycle_1_CDS_0040	21661	21855	+	phage_comp_0_cycle_1	-0.1929052172372119	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0040
phage_comp_0_cycle_1_CDS_0041	22047	21838	-	phage_comp_0_cycle_1	-11.832496557625696	10934	111.0	0.783	3.1210000000000003e-31	p57032 VI_00781	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0041
phage_comp_0_cycle_1_CDS_0042	22457	22104	-	phage_comp_0_cycle_1	-4809.924082254469	18569	39.0	0.616	3.373e-06	NC_028931_p45	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0042
phage_comp_0_cycle_1_CDS_0043	22720	22520	-	phage_comp_0_cycle_1	-9.106938574199626	87	40.0	0.378	7.848e-06	NC_028929_p34	PHANOTATE	CDS	#838383	metallo-protease	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0043
phage_comp_0_cycle_1_CDS_0044	22902	23009	+	phage_comp_0_cycle_1	-0.0467812928558927	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0044
phage_comp_0_cycle_1_CDS_0045	23331	23065	-	phage_comp_0_cycle_1	-1695.6443539723448	2967	42.0	0.395	2.537e-06	p123578 VI_00485	PHANOTATE	CDS	#a861e3	transcriptional regulator	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0045
phage_comp_0_cycle_1_CDS_0046	23441	23283	-	phage_comp_0_cycle_1	-1.882887987470692	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0046
phage_comp_0_cycle_1_CDS_0047	23504	23650	+	phage_comp_0_cycle_1	-20.378803367353708	7950	43.0	0.564	2.301e-08	p141193 VI_04895	PHANOTATE	CDS	#a861e3	transcriptional repressor	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0047
phage_comp_0_cycle_1_CDS_0048	23755	24060	+	phage_comp_0_cycle_1	-854.6228500432586	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0048
phage_comp_0_cycle_1_CDS_0049	24060	24287	+	phage_comp_0_cycle_1	-13.010395946896136	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0049
phage_comp_0_cycle_1_CDS_0050	24271	24471	+	phage_comp_0_cycle_1	-21.332324751365785	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0050
phage_comp_0_cycle_1_CDS_0051	24576	25388	+	phage_comp_0_cycle_1	-453407366.6079213	270	86.0	0.278	5.500000000000001e-20	p161201 VI_00579	PHANOTATE	CDS	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0051
phage_comp_0_cycle_1_CDS_0052	25388	25570	+	phage_comp_0_cycle_1	-8.229061793654482	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0052
phage_comp_0_cycle_1_CDS_0053	25594	26079	+	phage_comp_0_cycle_1	-189.2187246080456	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0053
phage_comp_0_cycle_1_CDS_0054	26076	26408	+	phage_comp_0_cycle_1	-776.1784463749746	715	65.0	0.604	1.216e-13	MG655269_p104	PHANOTATE	CDS	#838383	MazG-like pyrophosphatase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0054
phage_comp_0_cycle_1_CDS_0055	26411	26659	+	phage_comp_0_cycle_1	-124.73634509798352	23238	70.0	0.539	1.594e-15	NC_009018_p22	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0055
phage_comp_0_cycle_1_CDS_0056	26656	26820	+	phage_comp_0_cycle_1	-91.41811978345564	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0056
phage_comp_0_cycle_1_CDS_0057	26807	27019	+	phage_comp_0_cycle_1	-138.06620625138973	23238	59.0	0.537	1.102e-11	NC_009018_p22	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0057
phage_comp_0_cycle_1_CDS_0058	27016	27213	+	phage_comp_0_cycle_1	-1940.730573059868	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0058
phage_comp_0_cycle_1_CDS_0059	27226	27594	+	phage_comp_0_cycle_1	-25776.317741050265	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0059
phage_comp_0_cycle_1_CDS_0060	27594	27935	+	phage_comp_0_cycle_1	-4787.304070204456	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0060
phage_comp_0_cycle_1_CDS_0061	27936	28178	+	phage_comp_0_cycle_1	-535.2857367091739	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0061
phage_comp_0_cycle_1_CDS_0062	28179	28334	+	phage_comp_0_cycle_1	-16.32791374728558	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0062
phage_comp_0_cycle_1_CDS_0063	28382	28489	+	phage_comp_0_cycle_1	-2.773188768280232	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0063
phage_comp_0_cycle_1_CDS_0064	28499	28636	+	phage_comp_0_cycle_1	-0.9796450995468508	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0064
phage_comp_0_cycle_1_CDS_0065	28654	28764	+	phage_comp_0_cycle_1	-0.3471710837344445	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0065
phage_comp_0_cycle_1_CDS_0066	28777	28989	+	phage_comp_0_cycle_1	-10.747879452097802	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0066
phage_comp_0_cycle_1_CDS_0067	29054	30187	+	phage_comp_0_cycle_1	-48040970.4810648	704	141.0	0.323	1.696e-37	MF001366_p25	PHANOTATE	CDS	#ffdf59	DNA repair exonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0067
phage_comp_0_cycle_1_CDS_0068	30180	30275	+	phage_comp_0_cycle_1	-0.0773304971945752	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0068
phage_comp_2_cycle_1_CDS_0001	320	3	-	phage_comp_2_cycle_1	-309.4049553188166	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_2_cycle_1_CDS_0001
phage_comp_2_cycle_1_CDS_0002	1142	330	-	phage_comp_2_cycle_1	-1797795.5991946687	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_2_cycle_1_CDS_0002
phage_comp_2_cycle_1_CDS_0003	1650	1135	-	phage_comp_2_cycle_1	-10933.639728210805	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_2_cycle_1_CDS_0003
phage_comp_2_cycle_1_CDS_0004	2485	1640	-	phage_comp_2_cycle_1	-3720631.2036844087	38413	88.0	0.262	1.559e-20	p214706 VI_06326	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_2_cycle_1_CDS_0004
phage_comp_2_cycle_1_CDS_0005	2772	2497	-	phage_comp_2_cycle_1	-108.3651443677224	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_2_cycle_1_CDS_0005
phage_comp_2_cycle_1_CDS_0006	3350	2757	-	phage_comp_2_cycle_1	-15783.881901232586	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_2_cycle_1_CDS_0006
phage_comp_2_cycle_1_CDS_0007	3780	3274	-	phage_comp_2_cycle_1	-4744.577377873837	822	153.0	0.541	1.724e-43	NC_017980_p11	PHANOTATE	CDS	#f35f49	amidase	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_2_cycle_1_CDS_0007
phage_comp_2_cycle_1_CDS_0008	3877	3767	-	phage_comp_2_cycle_1	-1.1912389644695922	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_2_cycle_1_CDS_0008
phage_comp_2_cycle_1_CDS_0009	3996	3877	-	phage_comp_2_cycle_1	-6.612508760054052	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_2_cycle_1_CDS_0009
phage_comp_2_cycle_1_CDS_0010	4288	3983	-	phage_comp_2_cycle_1	-163.65596518837262	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_2_cycle_1_CDS_0010
